ID,Title,Authors,Date,URL,Page Number
1,On the cusp of change: North American wealth management in 2030,"Pooneh Baghai , Alex DAmico , Renee de la Roche Zhu , Onur Erzan , Vlad Golyk , Jill Zucker","January 22, 2020",https://www.mckinsey.com/industries/financial-services/our-insights/on-the-cusp-of-change-north-american-wealth-management-in-2030,2
2,“The people in start-ups are busy trying to make their companies work. They do not have time to take on second jobs as change-management professionals in your company.”,Not specified,"May 13, 2021",https://www.mckinsey.com/featured-insights/quote-of-the-day/may-13-2021,2
3,A more effective model for managing change in Japan could accelerate economic growth,"Andre Andonian , Maya Horii , Naoyuki Iwatani , Michele Raviscioni , Katsuhiro Sato","July 6, 2018",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/a-more-effective-model-for-managing-change-in-japan-could-accelerate-economic-growth,2
4,Getting personal about change,"Scott Keller , Bill Schaninger","August 21, 2019",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/getting-personal-about-change,2
5,Managing change and release,"Nico Berhausen , Eric Hannon","March 20, 2018",https://www.mckinsey.com/capabilities/operations/our-insights/managing-change-and-release,2
6,The four building blocks of change,"Tessa Basford , Bill Schaninger","April 11, 2016",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-four-building-blocks--of-change,2
7,How to double the odds that your change program will succeed,Not specified,"August 29, 2019",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/how-to-double-the-odds-that-your-change-program-will-succeed,2
8,Driving organizational and behavior changes during a pandemic,"Noa Dagan , Lee Baz-Sanchez , Brooke Weddle","August 6, 2020",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/driving-organizational-and-behavior-changes-during-a-pandemic,2
9,Thriving workplaces: How employers can improve productivity and change lives,"Barbara Jeffery , Brooke Weddle , Jacqueline Brassey , Shail Thaker","January 16, 2025",https://www.mckinsey.com/mhi/our-insights/thriving-workplaces-how-employers-can-improve-productivity-and-change-lives,4
10,A data-backed approach to stakeholder engagement,"Bill Schaninger , Taylor Lauricella","May 28, 2020",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/a-data-backed-approach-to-stakeholder-engagement,4
11,"A new operating model for people management: More personal, more tech, more human","Asmus Komm , Fernanda Mayol , Neel Gandhi , Sandra Durth","February 7, 2025",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/a-new-operating-model-for-people-management-more-personal-more-tech-more-human,4
12,Beyond the Rubicon: Asset management in an era of unrelenting change,"Pooneh Baghai , Onur Erzan , JuHon Kwek","November 6, 2019",https://www.mckinsey.com/industries/financial-services/our-insights/beyond-the-rubicon-asset-management-in-an-era-of-unrelenting-change,4
13,From crisis management to strategic resilience: Lessons from the auto industry,"Dorothee Herring , Manuel Altmeier , Thomas Poppensieker","March 18, 2025",https://www.mckinsey.com/capabilities/risk-and-resilience/our-insights/from-crisis-management-to-strategic-resilience-lessons-from-the-auto-industry,3
14,The looming advisor shortage in US wealth management,"Jill Zucker , Jimmy Zhao , John Euart , Jonathan Godsall , Vlad Golyk","February 10, 2025",https://www.mckinsey.com/industries/financial-services/our-insights/the-looming-advisor-shortage-in-us-wealth-management,3
15,McKinsey Organization Blog: 100 posts and counting,Bill Schaninger,"January 13, 2020",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/100-posts-and-counting,3
16,Harnessing revenue growth management for sustainable success,"Brian Henstorf , Pieter Reynders , Sheldon Lyn , Stefano Zerbi","December 18, 2024",https://www.mckinsey.com/capabilities/growth-marketing-and-sales/our-insights/harnessing-revenue-growth-management-for-sustainable-success,3
17,New operations management systems for a digital world,"Vivek Chhabria , Kar Woon Choy , Rohit Sood , Rob Whiteman","June 21, 2022",https://www.mckinsey.com/capabilities/operations/our-insights/new-operations-management-systems-for-a-digital-world,3
18,What works—and doesn’t—in performance management,"Brooke Weddle , Bryan Hancock","November 19, 2024",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/what-works-and-doesnt-in-performance-management,3
19,Leading through change: Preparing for government transition,"Rachel Riley , Scott Blackburn","January 14, 2025",https://www.mckinsey.com/industries/public-sector/our-insights/leading-through-change-preparing-for-government-transition,3
20,Confronting new risk management guidelines for credit spread risk in banking,"Andreas Bohn , Javier Martinez Arroyo","February 27, 2025",https://www.mckinsey.com/capabilities/risk-and-resilience/our-insights/confronting-new-risk-management-guidelines-for-credit-spread-risk-in-banking,3
21,How do we manage the change journey?,"Scott Keller , Bill Schaninger","May 5, 2020",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/how-do-we-manage-the-change-journey,5
22,"Build a change platform, not a change program","Gary Hamel , Michele Zanini","October 1, 2014",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/build-a-change-platform-not-a-change-program,5
23,"A premier crisis management expert, a retail and media giant, and a DIY powerhouse",Not specified,"January 30, 2025",https://www.mckinsey.com/featured-insights/mckinsey-on-lives-and-legacies/january-2025,5
24,Mitigating climate change,Not specified,"February 29, 2024",https://www.mckinsey.com/featured-insights/sustainable-inclusive-growth/charts/mitigating-climate-change,5
25,BCBS 239 2.0 resurgence: Strengthening risk management and decision making,"Asin Tavakoli , Holger Harreis , Kayvaun Rowshankish , Stephen Reddin","December 6, 2024",https://www.mckinsey.com/capabilities/risk-and-resilience/our-insights/bcbs-239-2-0-resurgence-strengthening-risk-management-and-decision-making,5
26,Back to the not-so-basics of managing change,"Noa Dagan , Naina Dhingra , Ingrid Millán","September 30, 2019",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/back-to-the-not-so-basics-of-managing-change,5
27,Navigating network modernization: Change management best practices,"Ritesh Agarwal , Ashish Gupta , Pankaj Sachdeva , Jill Sharabura","March 12, 2024",https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/tech-forward/navigating-network-modernization-change-management-best-practices,1
28,Changing change management,"Boris Ewenstein , Wesley Smith , Ashvin Sologar","July 1, 2015",https://www.mckinsey.com/featured-insights/leadership/changing-change-management,1
29,Change management: lessons from Japan,"André Andonian , Naoyuki Iwatani , Michele Raviscioni","August 6, 2018",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/change-management-lessons-from-japan,1
30,The psychology of change management,"Emily Lawson , Colin Price","June 1, 2003",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-psychology-of-change-management,1
31,The irrational side of change management,"Carolyn Dewar , Scott Keller","April 1, 2009",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-irrational-side-of-change-management,1
32,Change management will be critical to implementing generative AI,Not specified,"October 17, 2023",https://www.mckinsey.com/featured-insights/lifting-europes-ambition/videos-and-podcasts/change-management-will-be-critical-to-implementing-generative-ai,1
33,Personalizing change management in the smartphone era,"Alexander DiLeonardo , David Mendelsohn , Nikil Selvam , Alexandra Wood","May 14, 2020",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/personalizing-change-management-in-the-smartphone-era,1
34,All I ever needed to know about change management I learned at engineering school,Roger Dickhout,"May 1, 1997",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/all-i-ever-needed-to-know-about-change-management-i-learned-at-engineering-school,1
35,Five principles to manage change in the military,"David Chinn , John Dowdy","December 1, 2014",https://www.mckinsey.com/industries/public-sector/our-insights/five-principles-to-manage-change-in-the-military,1
36,On the cusp of change: North American wealth management in 2030,"Jill Zucker , Pooneh Baghai , Vlad Golyk , Alex D’Amico , Onur Erzan , Renee de la Roche-Zhu","January 3, 2020",https://www.mckinsey.com/industries/financial-services/our-insights/banking-matters/on-the-cusp-of-change-north-american-wealth-management-in-2030,1
37,Organizing for change,Kirk Rieckhoff,"December 3, 2021",https://www.mckinsey.com/industries/public-sector/our-insights/organizing-for-change,6
38,Helping employees embrace change,"Jennifer A LaClair , Ravi P Rao","November 1, 2002",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/helping-employees-embrace-change,6
39,Master data management: The key to getting more from your data,"Aziz Shaikh , Holger Harreis , Jorge Machado , Kayvaun Rowshankish , Rajat Jain","May 15, 2024",https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/master-data-management-the-key-to-getting-more-from-your-data,6
40,Stay ahead of change: insights for the organization of the future,Not specified,"November 10, 2024",https://www.mckinsey.com/featured-insights/themes/stay-ahead-of-change-insights-for-the-organization-of-the-future,6
41,Tornando a mudança uma questão pessoal,"Scott Keller , Bill Schaninger","August 21, 2019",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/getting-personal-about-change/pt-br,6
42,How to influence change,Not specified,"September 11, 2021",https://www.mckinsey.com/featured-insights/themes/how-to-influence-change,6
43,How banks can boost productivity through simplification at scale,"Akshay Kapoor , Asheet Mehta , Pradip Patiath , Vinod Surendran","March 13, 2025",https://www.mckinsey.com/industries/financial-services/our-insights/how-banks-can-boost-productivity-through-simplification-at-scale,6
44,The download on product management,Not specified,"February 23, 2023",https://www.mckinsey.com/featured-insights/sustainable-inclusive-growth/charts/the-download-on-product-management,10
45,Managing change on many fronts: How Northwestern Mutual beat the odds,"William Decherd , Kia Javanmardian","August 31, 2021",https://www.mckinsey.com/industries/financial-services/our-insights/managing-change-on-many-fronts-how-northwestern-mutual-beat-the-odds,10
46,Everything is better as code: Using FinOps to manage cloud costs,"Abhi Bhatnagar , Pablo Prieto-Munoz","February 3, 2025",https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/everything-is-better-as-code-using-finops-to-manage-cloud-costs,10
47,"Generative AI can change real estate, but the industry must change to reap the benefits","Matt Fitzpatrick , Vaibhav Gujral , Ankit Kapoor , Alex Wolkomir","November 14, 2023",https://www.mckinsey.com/industries/real-estate/our-insights/generative-ai-can-change-real-estate-but-the-industry-must-change-to-reap-the-benefits,10
48,The contact center crossroads: Finding the right mix of humans and AI,"Brian Blackader , Eric Buesing , Jorge Amar , Julian Raabe","March 19, 2025",https://www.mckinsey.com/capabilities/operations/our-insights/the-contact-center-crossroads-finding-the-right-mix-of-humans-and-ai,10
49,How insurance can help combat climate change,Not specified,"January 6, 2021",https://www.mckinsey.com/industries/financial-services/our-insights/how-insurance-can-help-combat-climate-change,10
50,Nine key observations about the European asset management industry,"Sid Azad , Cristina Catania , Niklas Nolzen , Florian Wagner , Christian Zahn","April 29, 2024",https://www.mckinsey.com/industries/financial-services/our-insights/banking-matters/nine-key-observations-about-the-european-asset-management-industry,10
51,McKinsey on Climate Change,Not specified,Not specified,https://www.mckinsey.com/capabilities/sustainability/our-insights/mckinsey-on-climate-change,9
52,Gen AI is here—but where are its users?,Not specified,"March 13, 2025",https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/gen-ai-is-here-but-where-are-its-users,9
53,The portfolio management imperative and its M&A implications,"Jens Giersberg , Hannes Herrmann , Alexander Maier , Marc Augustin","February 29, 2024",https://www.mckinsey.com/capabilities/m-and-a/our-insights/the-portfolio-management-imperative-and-its-m-and-a-implications,9
54,From field to remote operations: Embracing change to enable growth,"Florent Kervazo , Markus Forsgren , Adriana Fonseca , Nicolas Guzman","July 17, 2024",https://www.mckinsey.com/capabilities/operations/our-insights/operations-blog/from-field-to-remote-operations-embracing-change-to-enable-growth,9
55,Analytics transformation in wealth management,Not specified,"January 11, 2022",https://www.mckinsey.com/industries/financial-services/our-insights/analytics-transformation-in-wealth-management,9
56,Gain transformation momentum early by optimizing working capital,Ojas Shah,"January 24, 2025",https://www.mckinsey.com/capabilities/transformation/our-insights/gain-transformation-momentum-early-by-optimizing-working-capital,9
57,Never just tech: unlocking sustainability success with technology | United Kingdom,Not specified,"March 10, 2025",https://www.mckinsey.com/uk/our-insights/the-mckinsey-uk-blog/never-just-tech-unlocking-sustainability-success-with-technology,9
58,How to maximize the chances of achieving your insurance claims aspiration,Elixabete Larrea,"June 19, 2019",https://www.mckinsey.com/industries/financial-services/our-insights/insurance-blog/how-to-maximize-the-chances-of-achieving-your-insurance-claims-aspiration,7
59,Organizations do not change. People change!,"Anita Baggio , Eleftheria Digentiki , Rahul Varma","October 7, 2019",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/organizations-do-not-change-people-change,7
60,Beyond the balance sheet: North American asset management 2024,"Joseph Lai , JuHon Kwek","September 18, 2024",https://www.mckinsey.com/industries/financial-services/our-insights/beyond-the-balance-sheet-north-american-asset-management-2024,7
61,What is talent management?,Not specified,"May 22, 2023",https://www.mckinsey.com/featured-insights/mckinsey-explainers/what-is-talent-management,7
62,Wealth & Asset Management,Not specified,Not specified,https://www.mckinsey.com/industries/financial-services/our-insights/wealth-and-asset-management,7
63,Archetyping to create lasting behavior change in organizations,"Kourosh Houshmand , Kiran Kondisetti , Dominic Skerritt , Sarah Weichselbaum","September 11, 2023",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/archetyping-to-create-lasting-behavior-change-in-organizations,7
64,The future of middle management,"Bryan Hancock , Emily Field","August 10, 2023",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-future-of-middle-management,7
65,In the spotlight: Performance management that puts people first,"Amaia Noguera Lasa , Andrea Pedroni , Asmus Komm","May 15, 2024",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/in-the-spotlight-performance-management-that-puts-people-first,7
66,A missive for reimagining middle management in Singapore,Not specified,"May 20, 2024",https://www.mckinsey.com/featured-insights/future-of-asia/countries-and-regions/southeast-asia/southeast-asia-perspectives/a-missive-for-reimagining-middle-management-in-singapore,7
67,Resilient performance management in volatile times,"Michael Birshan , Roel Hoyer , Alex Katen-Narvell , Dana Maor","November 14, 2022",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/resilient-performance-management-in-volatile-times,8
68,Transforming the enterprise through AI-powered workflows,Not specified,Not specified,https://www.mckinsey.com/capabilities/growth-marketing-and-sales/our-insights/transforming-the-enterprise-through-ai-powered-workflows,8
69,How you change things is just as important as what you change,Not specified,"February 19, 2021",https://www.mckinsey.com/featured-insights/sustainable-inclusive-growth/charts/how-you-change-things-is-just-as-important-as-what-you-change,8
70,Climate change hazards intensifying,Lola Woetzel,"January 22, 2020",https://www.mckinsey.com/capabilities/sustainability/our-insights/sustainability-blog/climate-change-hazards-intensifying,8
71,Supply chain management,Not specified,Not specified,https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/tech-enabled-business-transformation-the-trillion-dollar-opportunity/what-can-i-do/supply-chain-management,8
72,The lean management enterprise,Not specified,Not specified,https://www.mckinsey.com/capabilities/operations/our-insights/the-lean-management-enterprise,8
73,Fraud management perspectives for Latin America,"Fernanda Dalbem , Elias Goraieb , Carla Ioshiura , Roberto Marchi , Patrick Rinski , Ana Leticia Santos","March 18, 2024",https://www.mckinsey.com/capabilities/risk-and-resilience/our-insights/fraud-management-perspectives-for-latin-america,8
74,Active portfolio management: Five practical insights for value creation,"Andy West , Anna Mattsson , Jamie Koenig","November 5, 2024",https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/active-portfolio-management-five-practical-insights-for-value-creation,5
75,Managing change: What lies behind G&A spend transformation,Not specified,"December 6, 2021",https://www.mckinsey.com/capabilities/operations/our-insights/managing-change-what-lies-behind-g-and-a-spend-transformation,15
76,"Faster, smarter trials: Modernizing biopharma’s R&D IT applications","Jeffrey Lewis , Lieven Van der Veken , Mike Joyce , Tobias Hlavka","February 13, 2025",https://www.mckinsey.com/industries/life-sciences/our-insights/faster-smarter-trials-modernizing-biopharmas-r-and-d-it-applications,15
77,Five ways B2B sales leaders can win with tech and AI,"Maria Valdivieso de Uster , Guilherme Cruz , Jean Charles Devignes , Eric Bykowsky","February 13, 2025",https://www.mckinsey.com/capabilities/growth-marketing-and-sales/our-insights/five-ways-b2b-sales-leaders-can-win-with-tech-and-ai,15
78,Take a human-centric approach to avoid AI’s leadership traps,"Sandra Durth , Johanne Lavoie , Dana Maor , Anna Roth","February 10, 2025",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/take-a-human-centric-approach-to-avoid-ais-leadership-traps,15
79,The change agent challenge,Not specified,"March 28, 2017",https://www.mckinsey.com/capabilities/operations/our-insights/the-change-agent-challenge,15
80,Rewiring maintenance with gen AI,Sergio Farioli,"February 6, 2025",https://www.mckinsey.com/capabilities/operations/our-insights/rewiring-maintenance-with-gen-ai,15
81,Real change leaders,Jon R Katzenbach,"February 1, 1996",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/real-change-leaders,15
82,TruStage’s Bob Trunzo on bringing bold change to insurance,Ari Libarikian,"December 7, 2023",https://www.mckinsey.com/industries/financial-services/our-insights/trustages-bob-trunzo-on-bringing-bold-change-to-insurance,17
83,Engineering and construction: Strategic M&A as a catalyst for growth,"Daniel Ahmoye , Jamie Koenig , Jose Luis Blanco","March 4, 2025",https://www.mckinsey.com/industries/engineering-construction-and-building-materials/our-insights/engineering-and-construction-strategic-m-and-a-as-a-catalyst-for-growth,17
84,Individual performance management in the COVID-19 world,"Sabrin Chowdhury , Owain Williams","December 3, 2020",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/individual-performance-management-in-the-covid-19-world,17
85,Customer value management with Efi Koulouridi,Not specified,"March 8, 2023",https://www.mckinsey.com/industries/financial-services/our-insights/insurance/women-in-insurance-leading-voices-on-trends-affecting-insurers/customer-value-management-with-efi-koulouridi,17
86,Unlocking value from technology and AI for institutional investors,"Bryan Petzold , Elizabeth Skovira , Frederic Jacques , Marcos Tarnowski , Piyush Sharma , Raj Bector","January 21, 2025",https://www.mckinsey.com/industries/private-capital/our-insights/unlocking-value-from-technology-and-ai-for-institutional-investors,17
87,From risk management to strategic resilience,"Alfonso Natale , Thomas Poppensieker , Michael Thun","March 9, 2022",https://www.mckinsey.com/capabilities/risk-and-resilience/our-insights/from-risk-management-to-strategic-resilience,17
88,Middle managers can succeed by simplifying the role,"Emily Field , Bryan Hancock , Egina Quintero","March 20, 2024",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-blog/middle-managers-can-succeed-by-simplifying-the-role,17
89,Steps to manage methane,Not specified,"February 4, 2025",https://www.mckinsey.com/featured-insights/sustainable-inclusive-growth/charts/steps-to-manage-methane,17
90,"Developing a resilient, adaptable workforce for an uncertain future","Jacqueline Brassey , Aaron De Smet , Dana Maor","December 6, 2024",https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/developing-a-resilient-adaptable-workforce-for-an-uncertain-future,17
91,How mobility budgets can change the future of transportation,"Kersten Heineke , Benedikt Kloss , Jianan Li , Felix Rupalla","October 31, 2023",https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/how-mobility-budgets-can-change-the-future-of-transportation,19
92,Rewiring technology to better serve customers and the business,Mark McMillan,"January 16, 2025",https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewiring-technology-to-better-serve-customers-and-the-business,19
93,Environmentally sustainable public procurement to strategically reshape markets and effect lasting change,Johannes Schnitzer,"March 14, 2024",https://www.mckinsey.com/featured-insights/in-the-balance/environmentally-sustainable-public-procurement-to-strategically-reshape-markets-and-effect-lasting-change,19
94,Agile business portfolio management,"Sean Brown , Obi Ezekoye , Anthony Luu , Andy West","October 1, 2021",https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/agile-business-portfolio-management,19
95,CIO perspectives on leading agile change,"Jason Inacio , David Kincsem , Guilherme Riederer , Daniel Rona","January 24, 2022",https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/cio-perspectives-on-leading-agile-change,19
96,The state of AI: How organizations are rewiring to capture value,"Alex Singla , Alexander Sukharevsky , Lareina Yee , Michael Chui , Bryce Hall","March 12, 2025",https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai,19
97,"Retain, integrate, thrive: A strategy for managing talent during M&A transactions","Emily O Loughlin , John Chartier","February 19, 2025",https://www.mckinsey.com/capabilities/m-and-a/our-insights/retain-integrate-thrive-a-strategy-for-managing-talent-during-m-and-a-transactions,11
98,"Anant Bhalla on the convergence of insurance, asset management","Ramnath Balasubramanian , Fritz Nauck","May 3, 2024",https://www.mckinsey.com/industries/financial-services/our-insights/anant-bhalla-on-the-convergence-of-insurance-asset-management,11
99,Deposits: The top profitability lever for retail banks’ CEOs,"Carlos Fernandez Naveira , Max Flototto , Roque Echaniz","February 6, 2025",https://www.mckinsey.com/industries/financial-services/our-insights/deposits-the-top-profitability-lever-for-retail-banks-ceos,11
